i'm just curious	je suis juste curieuse
we haven't finished	nous n'avons pas fini
what did you buy ?	qu'as tu achete ?
i haven't had dinner	je n'ai pas dine
it happened very fast	ca s'est produit tres rapidement
stand back !	reculez vous !
i'm unconvinced	je ne suis pas convaincue
tom is writing a book	tom redige un ouvrage
he seldom went there	il y est rarement alle
he looks gloomy	il a l'air sombre
we've been warned	nous avons ete prevenus
we think that he's honest	nous pensons qu'il est honnete
we gave our word	nous donnames notre parole
don't leave !	ne t'en va pas !
you're the teacher	c'est vous l'institutrice
i don't like coffee	je n'aime pas le cafe
she hardly talks at all	elle parle a peine
guess who's coming for dinner	devinez qui vient diner !
it is raining hard now	il pleut beaucoup maintenant
everyone's relieved	tout le monde est soulage
that was really unfair	c'etait tres injuste
chew your food well	mache bien ta nourriture
i am reading a magazine	je lis un magazine
you can rely on him	vous pouvez compter sur lui
he's an independent thinker	c'est un esprit independant
you sound angry	tu as l'air en colere
i have no children	je n'ai pas d'enfants
we were all devastated	nous etions toutes aneanties
they're doctors	ils sont medecins
your friendship is important	ton amitie importe
my cat loves shrimp	mon chat adore les crevettes
i fully intend to return	j'ai parfaitement l'intention d'y retourner
the baby is crawling	le bebe rampe
i like your outfit	j'aime votre tenue
we're all going home	nous allons toutes chez nous
you saved us all	tu nous as tous sauves
i just got tenure	je viens d'etre titularisee
it's really embarrassing	c'est vraiment genant
i like baseball	je joue au baseball
all our attempts failed	toutes nos tentatives ont echoue
don't you get it ?	ne captes tu pas ?
he's broke	il est fauche
she's a cutie	c'est une beaute
tom was upstairs	tom etait en haut
that's ludicrous	c'est ridicule
he sells fruit	il vend des fruits
you're powerful	vous etes puissantes
concentrate tom	concentre toi tom
they were all friends	ils etaient tous amis
we want to go	nous voulons y aller
it's not safe	ce n'est pas sur
it's already too late	c'est deja trop tard
he cannot swim	il ne sait pas nager
you look terrible	tu as une sale tete
it's this book	c'est ce livre
who wants a drink ?	qui veut une boisson ?
you're in serious danger	vous etes en grave danger
we left by train	nous sommes partis en train
that was fantastic	c'etait fantastique
i'm your partner	je suis ton partenaire
i want to look different	je veux avoir l'air differente
tom was motivated	tom etait motive
i have many model cars	j'ai de nombreuses voitures miniatures
he participated in the debate	il a participe aux debats
he loves taking trips	il adore voyager
we hugged each other	nous nous sommes embrassees
we love our dog	nous adorons notre chien
coffee please	du cafe je te prie
your face is red	ton visage est rouge
we're unrelated	nous ne sommes pas apparentes
be sensible	soyez raisonnables !
i don't want to share	je ne veux pas partager
i'm just guessing	je ne fais que supposer
it's crawling with spiders	ca grouille d'araignees
i'll demonstrate	je le demontrerai
what'll we do ?	que ferons nous ?
something was wrong	quelque chose clochait
he's not married	il n'est pas marie
that really hurts	cela fait vraiment mal
be discreet	sois discret !
i'm exhausted	je suis creve
he'll understand	il comprendra
they elected him chairman	ils l'elurent president
they have many friends	elles ont beaucoup d'amies
i like neither of them	je n'aime aucune d'entre elles
he wore red pants	il portait un pantalon rouge
no one voted against it	personne ne vota contre
your time is up	votre temps est ecoule
she tied him up	elle l'a attache
mary is respected by everyone	marie est respectee de tous
tom is all alone	tom est completement seul
you're a weird kid	t'es un gamin bizarre
he failed the entrance exam	il a rate l'examen d'entree
that's not my signature	ce n'est pas ma signature
you have betrayed us	tu nous as trahies
you're totally ignorant	tu es completement ignorante
is it yours ?	est ce a vous ?
unfortunately it rained yesterday	malheureusement il pleuvait hier
that works	ca fonctionne
that's a woman's job	c'est un boulot de femme
i couldn't lie to you	je ne pourrais te mentir
i confiscated it	je l'ai confisquee
i hope they appreciate it	j'espere qu'elles l'apprecient
poaching is illegal	il est illegal de braconner
we want your advice	nous voulons vos conseils
this is unsatisfactory	ce n'est pas satisfaisant
i won't touch a thing	je ne toucherai a rien
that is a strange sentence	c'est une phrase bizarre
i'm still sleepy	je suis encore endormie
we had to stop	il nous fallut cesser
feel this	sentez ca !
they escaped	elles se sont echappees
what's their purpose ?	quel est leur but ?
you're resourceful	vous etes plein de ressources
don't fall off !	ne tombez pas !
this is the last time	c'est la derniere fois
tom used to be ambitious	tom etait ambitieux
don't talk to me !	ne me parle pas !
i won't mention it again	je ne le mentionnerai plus
we caught you	nous vous avons attrapee
are we all here ?	sommes nous toutes la ?
i'm busy too	je suis egalement affairee
somebody has stolen my suitcase	quelqu'un a vole ma valise
i wonder who invented it	je me demande qui l'inventa
i hate school	je deteste l'ecole
tom has my book	tom a mon livre
i designed it	je l'ai concu
that was really important	c'etait vraiment important
i don't know him	je ne le connais pas
we went on foot	nous sommes alles a pied
i was scared of course	j'etais terrifie bien sur
nobody's going to hire you	personne ne va t'engager
all of us were silent	nous etions tous silencieux
i'm very hungry	j'ai une faim de loup
she could not swim	elle ne savait pas nager
my mother is active	ma mere est active
bring your brother with you	amenez votre frere avec vous
don't forget to vote	n'oublie pas de voter !
i'm sick of you	j'en ai marre de vous
i'm bored right now	je m'ennuie en ce moment
we're still vulnerable	nous sommes encore vulnerables
don't change your mind	ne change pas d'avis
he's not young anymore	il n'est plus tout jeune
i really like my coworkers	j'aime vraiment mes collegues
i hired someone today	j'ai engage quelqu'un aujourd'hui
we would like to leave	nous aimerions partir
be proud of yourself	soyez fieres de vous
i have only one sister	je n'ai qu'une s ur
he doesn't have any friends	il n'a aucun ami
don't spoil your child	ne gatez pas votre enfant
the sun was shining brightly	le soleil brillait fort
we're completely lost	nous sommes completement egares
they stopped to talk	ils cesserent de parler
something isn't right	quelque chose n'est pas correct
we must punish him severely	nous devons le punir severement
drop your weapons !	laisse tomber tes armes !
can we help you ?	pouvons nous vous aider ?
we needed it	nous en avions besoin
i'll cook	je cuisinerai
you are impossible	vous etes insupportable
nobody knows the answer	personne ne connait la reponse
don't use that word	n'emploie pas ce mot !
you should be more careful	vous devriez etre plus prudente
who's your girlfriend ?	qui est ta copine ?
what station is it ?	quelle gare est ce ?
democracy encourages freedom	la democratie encourage la liberte
i had no other choice	je n'avais pas d'autre choix
the patient's in the hospital	le patient est a l'hopital
they're all bad	elles sont toutes mauvaises
we're on our own	nous sommes seuls
he thought up an excuse	il s'inventa une excuse
this is my final offer	c'est ma proposition ultime
you're not normal	tu n'es pas normal
you have no choice	tu n'as pas le choix
i'm not being unreasonable	je suis raisonnable
he was getting old	il vieillissait
you're assertive	tu sais te faire comprendre
i hated history class	je detestais les cours d'histoire
i'm no longer sleepy	je n'ai plus sommeil
everyone was asleep	tout le monde etait endormi
i'm glad to be here	je suis content d'etre ici
i need a pencil	j'ai besoin d'un crayon
you could have been happy	vous auriez pu etre heureux
you're wonderful	tu es merveilleuse
i'll try to contact tom	j'essayerai de contacter tom
my girlfriend was crying	ma copine pleurait
they live nearby	ils vivent a proximite
i've got to get going	il me faut y aller
what a wonderful party !	quelle merveilleuse fete !
it belongs to me now	il m'appartient desormais
nobody's going to hire you	personne ne va t'employer
you're silly	vous etes idiote
he was a rugby player	il etait joueur de rugby
we must try	il nous faut essayer
this is strictly between us	ceci est strictement entre nous
everybody's dead	tout le monde est mort
i could do nothing	je ne pouvais rien faire
they work in the fields	ils travaillent aux champs
it's a bit greasy	c'est un peu gras
i've been drinking	j'ai bu
show me a better one	montrez m'en un meilleur
don't do it	ne le faites pas !
you have beautiful hands	tu as de belles mains
i've been here since saturday	je suis ici depuis samedi
they were both drunk	ils etaient tous deux saouls
are you registered ?	etes vous inscrits ?
i got dizzy	j'ai ete prise de vertiges
it's nice to be appreciated	c'est chouette d'etre estime
it was an immediate success	ce fut un succes immediat
the files are missing	les dossiers sont manquants
i wanted your cooperation	je voulais ta cooperation
i'm majoring in sociology	je me specialise en sociologie
why are you alone ?	pourquoi etes vous seul ?
i kept my mouth shut	je ne dis pas mot
i knew we'd win	je savais que nous l'emporterions
do you like anchovies ?	aimez vous les anchois ?
is this love ?	est ce de l'amour ?
don't ask for money	ne demandez pas d'argent
i'm crazy about you	je suis fou de toi
i'm used to the noise	je suis habitue au bruit
they're surprised	elles sont surprises
back off	retire toi !
he can hardly speak	il peut a peine parler
i was very tired	j'etais tres fatigue
we're getting out of here	nous sortons d'ici
tell us all about it	parlez nous en !
he likes oranges	il aime les oranges
she recognized him immediately	elle l'a immediatement reconnu
you're not fat	tu n'es pas gros
i'm chubby	je suis grassouillet
they lost their dog	elles ont perdu leur chien
this is crazy	c'est fou
this is my mother	c'est ma maman
you're tough	vous etes dur
what'll it be like ?	comment sera ce ?
we're being attacked	nous sommes attaques
he parties too much	il fait trop la bamboula
he reached his goal	il a atteint son but
dust off the shelf	depoussierez l'etagere
you're stalling	tu temporises
it's wednesday	on est mercredi
you're too weak	tu es trop faible
it wasn't me	ce n'etait pas moi
she is wearing a brooch	elle porte une broche
it's very cold now	il fait tres froid maintenant
what are you wearing ?	que portez vous ?
he had lost all hope	il avait perdu tout espoir
please come again	je te prie de revenir
do as i tell you	fais comme je te dis
tell me about your children	parlez moi de vos enfants
